,Vu,gaut,Intervals
1,0.2,1.73,26.7
2,0.2,1.73,28.045
3,0.2,1.73,25.694
4,0.2,1.73,30.271
5,0.2,1.73,22.867
6,0.2,1.73,38.657
7,0.2,1.73,17.4
8,0.2,1.73,25.131
9,0.2,1.73,31.73
10,0.2,1.73,21.482
11,0.2,1.73,40.076
12,0.2,1.73,16.847
13,0.2,1.73,23.459
14,0.2,1.73,36.882
15,0.2,1.73,18.19
16,0.2,1.73,27.84
17,0.2,1.73,26.015
18,0.2,1.73,29.51
19,0.2,1.73,23.718
20,0.2,1.73,36.042
21,0.2,1.73,18.611
22,0.2,1.73,29.451
23,0.2,1.73,23.789
24,0.2,1.73,35.815
25,0.2,1.73,18.731
26,0.2,1.73,29.929
27,0.2,1.73,23.237
28,0.2,1.73,37.58
29,0.2,1.73,17.865
30,0.2,1.73,26.676
31,0.2,1.73,28.092
32,0.2,1.73,25.623
33,0.2,1.73,30.445
34,0.2,1.731,36.947
35,0.2,1.731,18.163
36,0.2,1.731,27.714
37,0.2,1.731,26.216
38,0.2,1.731,29.048
39,0.2,1.731,24.29
40,0.2,1.731,34.165
41,0.2,1.731,19.695
42,0.2,1.731,33.98
43,0.2,1.731,19.814
44,0.2,1.731,34.498
45,0.2,1.731,19.487
46,0.2,1.731,33.071
47,0.2,1.731,20.435
48,0.2,1.731,37.097
49,0.2,1.731,18.092
50,0.2,1.731,27.454
51,0.2,1.731,26.649
52,0.2,1.731,28.141
53,0.2,1.731,25.549
54,0.2,1.731,30.613
55,0.2,1.731,22.519
56,0.2,1.731,39.369
57,0.2,1.731,17.119
58,0.2,1.731,24.243
59,0.2,1.731,34.308
60,0.2,1.731,19.605
61,0.2,1.731,33.586
62,0.2,1.731,20.075
63,0.2,1.731,35.626
64,0.2,1.731,18.837
65,0.2,1.731,30.316
66,0.2,1.731,22.823
67,0.2,1.732,25.754
68,0.2,1.732,30.093
69,0.2,1.732,23.063
70,0.2,1.732,37.914
71,0.2,1.732,17.724
72,0.2,1.732,26.153
73,0.2,1.732,29.176
74,0.2,1.732,24.129
75,0.2,1.732,34.618
76,0.2,1.732,19.419
77,0.2,1.732,32.713
78,0.2,1.732,20.702
79,0.2,1.732,37.957
80,0.2,1.732,17.705
81,0.2,1.732,26.09
82,0.2,1.732,29.316
83,0.2,1.732,23.956
84,0.2,1.732,35.16
85,0.2,1.732,19.101
86,0.2,1.732,31.362
87,0.2,1.732,21.813
88,0.2,1.732,39.982
89,0.2,1.732,16.889
90,0.2,1.732,23.555
91,0.2,1.732,36.429
92,0.2,1.732,18.421
93,0.2,1.732,28.644
94,0.2,1.732,24.827
95,0.2,1.732,32.524
96,0.2,1.732,20.847
97,0.2,1.732,38.42
98,0.2,1.732,17.506
99,0.2,1.732,25.437
100,0.2,1.733,38.624
101,0.2,1.733,17.425
102,0.2,1.733,25.16
103,0.2,1.733,31.58
104,0.2,1.733,21.624
105,0.2,1.733,39.775
106,0.2,1.733,16.97
107,0.2,1.733,23.778
108,0.2,1.733,35.665
109,0.2,1.733,18.824
110,0.2,1.733,30.181
111,0.2,1.733,22.972
112,0.2,1.733,38.071
113,0.2,1.733,17.659
114,0.2,1.733,25.917
115,0.2,1.733,29.696
116,0.2,1.733,23.508
117,0.2,1.733,36.505
118,0.2,1.733,18.387
119,0.2,1.733,28.485
120,0.2,1.733,25.049
121,0.2,1.733,31.881
122,0.2,1.733,21.366
123,0.2,1.733,39.493
124,0.2,1.733,17.078
125,0.2,1.733,24.095
126,0.2,1.733,34.675
127,0.2,1.733,19.389
128,0.2,1.733,32.525
129,0.2,1.733,20.849
130,0.2,1.733,38.305
131,0.2,1.733,17.559
132,0.2,1.733,25.589
133,0.2,1.734,38.381
134,0.2,1.734,17.531
135,0.2,1.734,25.478
136,0.2,1.734,30.736
137,0.2,1.734,22.407
138,0.2,1.734,39.214
139,0.2,1.734,17.191
140,0.2,1.734,24.418
141,0.2,1.734,33.649
142,0.2,1.734,20.045
143,0.2,1.734,35.233
144,0.2,1.734,19.067
145,0.2,1.734,31.126
146,0.2,1.734,22.036
147,0.2,1.734,39.641
148,0.2,1.734,17.025
149,0.2,1.734,23.924
150,0.2,1.734,35.154
151,0.2,1.734,19.112
152,0.2,1.734,31.312
153,0.2,1.734,21.866
154,0.2,1.734,39.705
155,0.2,1.734,17.001
156,0.2,1.734,23.852
157,0.2,1.734,35.374
158,0.2,1.734,18.988
159,0.2,1.734,30.801
160,0.2,1.734,22.344
161,0.2,1.734,39.312
162,0.2,1.734,17.152
163,0.2,1.734,24.303
164,0.2,1.734,33.995
165,0.2,1.734,19.816
166,0.2,1.735,36.096
167,0.2,1.735,18.604
168,0.2,1.735,29.239
169,0.2,1.735,24.056
170,0.2,1.735,34.697
171,0.2,1.735,19.384
172,0.2,1.735,32.388
173,0.2,1.735,20.964
174,0.2,1.735,38.382
175,0.2,1.735,17.534
176,0.2,1.735,25.472
177,0.2,1.735,30.733
178,0.2,1.735,22.414
179,0.2,1.735,39.085
180,0.2,1.735,17.245
181,0.2,1.735,24.571
182,0.2,1.735,33.165
183,0.2,1.735,20.384
184,0.2,1.735,36.486
185,0.2,1.735,18.405
186,0.2,1.735,28.488
187,0.2,1.735,25.045
188,0.2,1.735,31.84
189,0.2,1.735,21.409
190,0.2,1.735,39.283
191,0.2,1.735,17.167
192,0.2,1.735,24.333
193,0.2,1.735,33.864
194,0.2,1.735,19.906
195,0.2,1.735,34.578
196,0.2,1.735,19.456
197,0.2,1.735,32.687
198,0.2,1.735,20.734
199,0.2,1.736,35.467
200,0.2,1.736,18.945
201,0.2,1.736,30.539
202,0.2,1.736,22.61
203,0.2,1.736,38.62
204,0.2,1.736,17.438
205,0.2,1.736,25.151
206,0.2,1.736,31.534
207,0.2,1.736,21.676
208,0.2,1.736,39.402
209,0.2,1.736,17.124
210,0.2,1.736,24.191
211,0.2,1.736,34.243
212,0.2,1.736,19.667
213,0.2,1.736,33.51
214,0.2,1.736,20.147
215,0.2,1.736,35.479
216,0.2,1.736,18.939
217,0.2,1.736,30.512
218,0.2,1.736,22.637
219,0.2,1.736,38.566
220,0.2,1.736,17.461
221,0.2,1.736,25.221
222,0.2,1.736,31.35
223,0.2,1.736,21.838
224,0.2,1.736,39.445
225,0.2,1.736,17.108
226,0.2,1.736,24.143
227,0.2,1.736,34.386
228,0.2,1.736,19.577
229,0.2,1.736,33.135
230,0.2,1.736,20.41
231,0.2,1.737,25.277
232,0.2,1.737,31.186
233,0.2,1.737,21.991
234,0.2,1.737,39.284
235,0.2,1.737,17.175
236,0.2,1.737,24.325
237,0.2,1.737,33.803
238,0.2,1.737,19.955
239,0.2,1.737,34.625
240,0.2,1.737,19.435
241,0.2,1.737,32.487
242,0.2,1.737,20.895
243,0.2,1.737,37.959
244,0.2,1.737,17.724
245,0.2,1.737,26.051
246,0.2,1.737,29.345
247,0.2,1.737,23.931
248,0.2,1.737,34.972
249,0.2,1.737,19.23
250,0.2,1.737,31.643
251,0.2,1.737,21.584
252,0.2,1.737,39.214
253,0.2,1.737,17.202
254,0.2,1.737,24.41
255,0.2,1.737,33.557
256,0.2,1.737,20.119
257,0.2,1.737,35.282
258,0.2,1.737,19.053
259,0.2,1.737,30.925
260,0.2,1.737,22.235
261,0.2,1.737,39.095
262,0.2,1.737,17.249
263,0.2,1.737,24.551
264,0.2,1.738,31.968
265,0.2,1.738,21.314
266,0.2,1.738,38.76
267,0.2,1.738,17.389
268,0.2,1.738,24.962
269,0.2,1.738,31.985
270,0.2,1.738,21.299
271,0.2,1.738,38.736
272,0.2,1.738,17.398
273,0.2,1.738,24.994
274,0.2,1.738,31.902
275,0.2,1.738,21.368
276,0.2,1.738,38.843
277,0.2,1.738,17.355
278,0.2,1.738,24.857
279,0.2,1.738,32.267
280,0.2,1.738,21.072
281,0.2,1.738,38.286
282,0.2,1.738,17.587
283,0.2,1.738,25.585
284,0.2,1.738,30.404
285,0.2,1.738,22.753
286,0.2,1.738,38.119
287,0.2,1.738,17.658
288,0.2,1.738,25.817
289,0.2,1.738,29.861
290,0.2,1.738,23.334
291,0.2,1.738,36.652
292,0.2,1.738,18.335
293,0.2,1.738,28.141
294,0.2,1.738,25.546
295,0.2,1.738,30.499
296,0.2,1.738,22.657
297,0.2,1.739,36.932
298,0.2,1.739,18.202
299,0.2,1.739,27.641
300,0.2,1.739,26.321
301,0.2,1.739,28.746
302,0.2,1.739,24.696
303,0.2,1.739,32.678
304,0.2,1.739,20.757
305,0.2,1.739,37.341
306,0.2,1.739,18.01
307,0.2,1.739,26.97
308,0.2,1.739,27.478
309,0.2,1.739,26.588
310,0.2,1.739,28.206
311,0.2,1.739,25.45
312,0.2,1.739,30.716
313,0.2,1.739,22.444
314,0.2,1.739,38.591
315,0.2,1.739,17.462
316,0.2,1.739,25.174
317,0.2,1.739,31.405
318,0.2,1.739,21.801
319,0.2,1.739,39.065
320,0.2,1.739,17.268
321,0.2,1.739,24.581
322,0.2,1.739,32.999
323,0.2,1.739,20.52
324,0.2,1.739,36.581
325,0.2,1.739,18.374
326,0.2,1.739,28.253
327,0.2,1.739,25.382
328,0.2,1.739,30.883
329,0.2,1.739,22.282
330,0.2,1.74,22.25
331,0.2,1.74,38.734
332,0.2,1.74,17.407
333,0.2,1.74,24.987
334,0.2,1.74,31.868
335,0.2,1.74,21.405
336,0.2,1.74,38.65
337,0.2,1.74,17.441
338,0.2,1.74,25.094
339,0.2,1.74,31.59
340,0.2,1.74,21.642
341,0.2,1.74,38.882
342,0.2,1.74,17.346
343,0.2,1.74,24.802
344,0.2,1.74,32.362
345,0.2,1.74,21.004
346,0.2,1.74,37.898
347,0.2,1.74,17.763
348,0.2,1.74,26.117
349,0.2,1.74,29.167
350,0.2,1.74,24.156
351,0.2,1.74,34.169
352,0.2,1.74,19.73
353,0.2,1.74,33.502
354,0.2,1.74,20.17
355,0.2,1.74,35.226
356,0.2,1.74,19.096
357,0.2,1.74,30.965
358,0.2,1.74,22.208
359,0.2,1.74,38.777
360,0.2,1.74,17.389
361,0.2,1.74,24.933
362,0.2,1.741,21.277
363,0.2,1.741,38.34
364,0.2,1.741,17.575
365,0.2,1.741,25.496
366,0.2,1.741,30.569
367,0.2,1.741,22.596
368,0.2,1.741,38.133
369,0.2,1.741,17.664
370,0.2,1.741,25.778
371,0.2,1.741,29.908
372,0.2,1.741,23.291
373,0.2,1.741,36.552
374,0.2,1.741,18.397
375,0.2,1.741,28.275
376,0.2,1.741,25.349
377,0.2,1.741,30.926
378,0.2,1.741,22.248
379,0.2,1.741,38.627
380,0.2,1.741,17.455
381,0.2,1.741,25.12
382,0.2,1.741,31.499
383,0.2,1.741,21.725
384,0.2,1.741,38.804
385,0.2,1.741,17.382
386,0.2,1.741,24.894
387,0.2,1.741,32.087
388,0.2,1.741,21.228
389,0.2,1.741,38.255
390,0.2,1.741,17.612
