,Vu,gaut,Intervals
1,0.12,0,11.083
2,0.12,0,11.083
3,0.12,0,11.083
4,0.12,0,11.084
5,0.12,0,11.083
6,0.12,0,11.083
7,0.12,0,11.083
8,0.12,0,11.083
9,0.12,0,11.083
10,0.12,0,11.083
11,0.12,0,11.083
12,0.12,0,11.083
13,0.12,0,11.083
14,0.12,0,11.083
15,0.12,0,11.083
16,0.12,0,11.083
17,0.12,0,11.083
18,0.12,0,11.083
19,0.12,0,11.084
20,0.12,0,11.083
21,0.12,0,11.083
22,0.12,0,11.083
23,0.12,0,11.083
24,0.12,0,11.083
25,0.12,0,11.083
26,0.12,0,11.083
27,0.12,0,11.083
28,0.12,0,11.083
29,0.12,0,11.083
30,0.12,0,11.083
31,0.12,0,11.083
32,0.12,0,11.083
33,0.12,0,11.084
34,0.12,0,11.083
35,0.12,0,11.083
36,0.12,0,11.083
37,0.12,0,11.083
38,0.12,0,11.083
39,0.12,0,11.083
40,0.12,0,11.083
41,0.12,0,11.083
42,0.12,0,11.083
43,0.12,0,11.083
44,0.12,0,11.083
45,0.12,0,11.083
46,0.12,0,11.083
47,0.12,0,11.083
48,0.12,0,11.084
49,0.12,0,11.083
50,0.12,0,11.083
51,0.12,0,11.083
52,0.12,0,11.083
53,0.12,0,11.083
54,0.12,0,11.083
55,0.12,0,11.083
56,0.12,0,11.083
57,0.12,0,11.083
58,0.12,0,11.083
59,0.12,0,11.083
60,0.12,0,11.083
61,0.12,0,11.083
62,0.12,0,11.083
63,0.12,0,11.084
64,0.12,0,11.083
65,0.12,0,11.083
66,0.12,0,11.083
67,0.12,0,11.083
68,0.12,0,11.083
69,0.12,0,11.083
70,0.12,0,11.083
71,0.12,0,11.083
72,0.12,0,11.083
73,0.12,0,11.083
74,0.12,0,11.083
75,0.12,0,11.083
76,0.12,0,11.083
77,0.12,0,11.084
78,0.12,0,11.083
79,0.12,0,11.083
80,0.12,0,11.083
81,0.121,0,11.205
82,0.121,0,11.205
83,0.121,0,11.206
84,0.121,0,11.205
85,0.121,0,11.205
86,0.121,0,11.205
87,0.121,0,11.205
88,0.121,0,11.205
89,0.121,0,11.205
90,0.121,0,11.205
91,0.121,0,11.205
92,0.121,0,11.205
93,0.121,0,11.206
94,0.121,0,11.205
95,0.121,0,11.205
96,0.121,0,11.205
97,0.121,0,11.205
98,0.121,0,11.205
99,0.121,0,11.205
100,0.121,0,11.205
101,0.121,0,11.205
102,0.121,0,11.205
103,0.121,0,11.205
104,0.121,0,11.206
105,0.121,0,11.205
106,0.121,0,11.205
107,0.121,0,11.205
108,0.121,0,11.205
109,0.121,0,11.205
110,0.121,0,11.205
111,0.121,0,11.205
112,0.121,0,11.205
113,0.121,0,11.205
114,0.121,0,11.206
115,0.121,0,11.205
116,0.121,0,11.205
117,0.121,0,11.205
118,0.121,0,11.205
119,0.121,0,11.205
120,0.121,0,11.205
121,0.121,0,11.205
122,0.121,0,11.205
123,0.121,0,11.205
124,0.121,0,11.205
125,0.121,0,11.206
126,0.121,0,11.205
127,0.121,0,11.205
128,0.121,0,11.205
129,0.121,0,11.205
130,0.121,0,11.205
131,0.121,0,11.205
132,0.121,0,11.205
133,0.121,0,11.205
134,0.121,0,11.205
135,0.121,0,11.206
136,0.121,0,11.205
137,0.121,0,11.205
138,0.121,0,11.205
139,0.121,0,11.205
140,0.121,0,11.205
141,0.121,0,11.205
142,0.121,0,11.205
143,0.121,0,11.205
144,0.121,0,11.205
145,0.121,0,11.205
146,0.121,0,11.206
147,0.121,0,11.205
